taxa,name,IUCN_Status,tot_area,BL_area,PA_area,BL_perc,PA_perc,Bio_Rich,avg %BL,avg %PA,avg bior BL,avg bior PA
amphibians,Acris crepitans,LC,24000496538,94545126.29,1947586305,0.393929876,8.114775052,1.65,2.754,9.802,3.768,2.198
amphibians,Ambystoma gracile,LC,3.82E+11,5179161371,35567578331,1.357333396,9.321405228,1.65,2.754,9.802,3.768,2.198
amphibians,Ambystoma jeffersonianum,LC,4.21E+11,5327827949,36882928260,1.266106838,8.764871565,1.65,2.754,9.802,3.768,2.198
amphibians,Ambystoma laterale,LC,3.56E+11,3107394242,26334167760,0.871996738,7.389892174,1.65,2.754,9.802,3.768,2.198
amphibians,Ambystoma macrodactylum,LC,8.08E+11,4850445744,62416838421,0.600512196,7.727552201,1.65,2.754,9.802,3.768,2.198
amphibians,Ambystoma maculatum,LC,3.77E+11,1855374994,24882638008,0.492148595,6.600258905,1.65,2.754,9.802,3.768,2.198
amphibians,Ambystoma mavortium,LC,2.28E+12,21290076541,1.93E+11,0.93415316,8.47307025,1.65,2.754,9.802,3.768,2.198
amphibians,Ambystoma texanum,LC,1.53E+12,8686863280,1.16E+11,0.567966129,7.575055569,1.65,2.754,9.802,3.768,2.198
amphibians,Anaxyrus americanus,LC,2.44E+11,2221790665,30893595202,0.908987434,12.63930499,1.65,2.754,9.802,3.768,2.198
amphibians,Anaxyrus boreas,LC,25072538785,480135471.9,118243476.4,1.914985459,0.471605518,1.65,2.754,9.802,3.768,2.198
amphibians,Anaxyrus cognatus,LC,9780.667441,6120.985476,0,62.58249259,0,1.65,2.754,9.802,3.768,2.198
amphibians,Anaxyrus fowleri,LC,76531631620,253159388.4,10918038948,0.330790528,14.26604754,1.65,2.754,9.802,3.768,2.198
amphibians,Anaxyrus hemiophrys,LC,4245627.526,0,751031.4423,0,17.68952735,1.65,2.754,9.802,3.768,2.198
amphibians,Anaxyrus woodhousii,LC,4.61E+11,2719563101,84571585560,0.589935498,18.34551307,1.65,2.754,9.802,3.768,2.198
