"Group","Sci1","Sci2","nm","tot_area","BL_area","PA_area","BL_perc","PA_perc"
"Amphibians","Acris","crepitans","Amphibians_Acris_crepitans",36609031.0327047,0,929112.652615352,0,2.53793292640094
"Amphibians","Ambystoma","gracile","Amphibians_Ambystoma_gracile",140146657437.107,452964506.096492,29741737817.5334,0.323207498758767,21.2218674076336
"Amphibians","Ambystoma","jeffersonianum","Amphibians_Ambystoma_jeffersonianum",1531164653.13338,72239001.3970448,6777696.97392061,4.71791203181281,0.442649780351885
"Amphibians","Ambystoma","laterale","Amphibians_Ambystoma_laterale",1302901067368.31,5638967871.53599,109989759176.159,0.43280092501006,8.44191181747387
"Amphibians","Ambystoma","macrodactylum","Amphibians_Ambystoma_macrodactylum",730480011371.521,5364414376.88155,128088118117.501,0.734368400691695,17.5347875538727
"Amphibians","Ambystoma","maculatum","Amphibians_Ambystoma_maculatum",947173104325.634,5500820132.2497,74171005238.5925,0.580761859382205,7.83077611683248
"Amphibians","Ambystoma","mavortium","Amphibians_Ambystoma_mavortium",439658686544.779,9251814585.09797,19222786355.3056,2.10431747813441,4.3722066556617
"Amphibians","Ambystoma","texanum","Amphibians_Ambystoma_texanum",37835153.5046597,0,929112.652615352,0,2.45568622445506
"Amphibians","Anaxyrus","americanus","Amphibians_Anaxyrus_americanus",2483747515817.59,12960844355.9073,220309468063.286,0.521826162819164,8.87004281474904
"Amphibians","Anaxyrus","boreas","Amphibians_Anaxyrus_boreas",884390107042.491,6456425000.36661,136994410515.896,0.730042653004982,15.4902694438795
"Amphibians","Anaxyrus","cognatus","Amphibians_Anaxyrus_cognatus",17355699592.8756,0,1089416961.70479,0,6.27699826143559
"Amphibians","Anaxyrus","fowleri","Amphibians_Anaxyrus_fowleri",115024869.397613,0,18773933.8620173,0,16.3216302355627
"Amphibians","Anaxyrus","hemiophrys","Amphibians_Anaxyrus_hemiophrys",1081054988367.23,17183873706.8904,53301361429.6421,1.58954668280511,4.93049493348585
"Amphibians","Anaxyrus","woodhousii","Amphibians_Anaxyrus_woodhousii",349933.92078703,0,327870.472614606,0,93.6949672890237
"Amphibians","Aneides","ferreus","Amphibians_Aneides_ferreus",24000496537.9884,94545126.2924336,1947586305.43843,0.393929876170627,8.1147750520734
"Amphibians","Aneides","vagrans","Amphibians_Aneides_vagrans",33077524996.1799,153318236.215297,4293545083.57229,0.463511814239439,12.9802489275366
"Amphibians","Ascaphus","montanus","Amphibians_Ascaphus_montanus",1178869381.32134,66902252.2195009,26450694.0561923,5.67512001579967,2.24373407904996
"Amphibians","Ascaphus","truei","Amphibians_Ascaphus_truei",98327368655.0348,387781853.279441,20888469796.6133,0.394378349165337,21.2438002586004
"Amphibians","Desmognathus","fuscus","Amphibians_Desmognathus_fuscus",90896972148.9051,102240890.773266,2746837369.54354,0.112479974146749,3.02192394818581
"Amphibians","Desmognathus","ochrophaeus","Amphibians_Desmognathus_ochrophaeus",4327454.93919398,0,0,0,0
"Amphibians","Dicamptodon","tenebrosus","Amphibians_Dicamptodon_tenebrosus",92758910.0951691,1447138.72371065,25426643.0648118,1.56010751120933,27.41153711134
