"Environment and Climate Change Canada"
"Monthly Values for June - 1923"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"NANAIMO","49.183","-123.967","BC","16.0","0",NA,"30.0","0","6.7","0","0.0","0",NA,"38.7","0",NA,"","5","","",NA,"77.7","17.6","1025340"
"NANOOSE BAY","49.283","-124.183","BC","14.9","0",NA,"29.4","0","4.4","0","0.0","0",NA,"47.4","0",NA,"","6","","",NA,"102.3","7.8","1025375"
"PARKSVILLE","49.300","-124.300","BC","",,NA,"",,"",,"0.0","0",NA,"42.8","0",NA,"","4","","",NA,"","","1025970"
"NANAIMO DEPARTURE BAY","49.217","-123.950","BC","15.5","0",NA,"31.7","0","3.9","0","0.0","0",NA,"37.7","0",NA,"","6","","",NA,"89.7","14.9","1025C70"
"SANDWICK","49.750","-125.050","BC","",,NA,"",,"",,"0.0","0",NA,"21.1","0",NA,"","5","","",NA,"","","1027060"
"SAVARY ISLAND","49.933","-124.850","BC","",,NA,"",,"",,"0.0","0",NA,"53.1","0",NA,"","3","","",NA,"","","1027110"
"SAYWARD","50.367","-126.000","BC","",,NA,"",,"",,"0.0","0",NA,"45.6","0",NA,"","6","","",NA,"","","1027112"
"VANANDA","49.750","-124.583","BC","15.5","0",NA,"26.1","0","6.7","0","0.0","0",NA,"46.7","0",NA,"","6","","",NA,"81.3","7.1","1028340"
"ALBERNI BEAVER CREEK","49.367","-124.933","BC","16.0","0",NA,"33.9","0","1.1","0","0.0","0",NA,"30.5","0",NA,"","8","","",NA,"80.5","19.5","1030180"
"BAMFIELD","48.833","-125.100","BC","",,NA,"",,"",,"0.0","0",NA,"14.4","0",NA,"","2","","",NA,"","","1030600"
