"Environment and Climate Change Canada"
"Monthly Values for May - 1938"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ROY","50.500","-125.533","BC","",,NA,"",,"",,"0.0","0",NA,"137.8","0",NA,"","11","","",NA,"","","1066900"
"STEWART","55.950","-129.983","BC","9.2","0",NA,"22.2","0","-1.1","0","0.0","0",NA,"81.7","0",NA,"","11","","",NA,"271.7","0.0","1067740"
"STUIE TWEEDSMUIR LODGE","52.368","-126.067","BC","11.6","0","-1.3","29.4","0","-1.7","0","0.0","0",NA,"23.3","0","72.0","","5","","",NA,"198.1","0.3","1067776"
"SWANSON BAY","53.033","-128.500","BC","",,NA,"",,"",,"0.0","0",NA,"265.3","0",NA,"","16","","",NA,"","","1067880"
"TERRACE","54.517","-128.583","BC","10.2","0",NA,"28.3","0","-4.4","0","0.0","0",NA,"20.4","0",NA,"","2","","",NA,"240.8","0.0","1068100"
"AIYANSH","55.233","-129.017","BC","",,NA,"",,"",,"0.0","0",NA,"31.3","0",NA,"","8","","",NA,"","","1070150"
"MACLURE LAKE","54.733","-127.067","BC","",,NA,"",,"",,"0.0","0",NA,"14.5","0",NA,"","2","","",NA,"","","1074800"
"NEW HAZELTON","55.233","-127.600","BC","9.6","0",NA,"26.7","0","-5.0","0","0.0","0",NA,"4.1","0",NA,"","2","","",NA,"260.2","0.0","1075520"
"SMITHERS CDA","54.733","-127.100","BC","8.8","0",NA,"27.8","0","-6.1","0","0.0","0",NA,"2.0","0",NA,"","1","","",NA,"285.9","0.0","1077505"
"TELKWA","54.650","-126.833","BC","7.8","0",NA,"25.6","0","-5.6","0","0.5","0",NA,"1.3","0",NA,"","0","","",NA,"317.4","0.0","1078070"
