"Environment and Climate Change Canada"
"Monthly Values for May - 1937"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BEAR CREEK","48.500","-124.000","BC","",,NA,"",,"",,"0.0","0",NA,"133.6","0",NA,"","11","","",NA,"","","1010720"
"BEAVER LAKE","48.500","-123.350","BC","",,NA,"",,"",,"0.0","0",NA,"12.9","0",NA,"","5","","",NA,"","","1010774"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"0.0","0",NA,"61.8","0",NA,"","7","","",NA,"","","1011500"
"COLE BAY","48.650","-123.400","BC","",,NA,"",,"",,"0.0","0",NA,"23.2","0",NA,"","5","","",NA,"","","1011775"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","12.1","0",NA,"21.7","0","2.8","0","0.0","0",NA,"39.5","0",NA,"","7","","",NA,"184.1","0.1","1012010"
"COWICHAN LAKE HATCHERY","48.833","-124.117","BC","",,NA,"",,"",,"0.0","0",NA,"109.5","0",NA,"","12","","",NA,"","","1012046"
"CROFTON","48.817","-123.667","BC","",,NA,"",,"",,"0.0","0",NA,"44.5","0",NA,"","7","","",NA,"","","1012190"
"DUNCAN","48.783","-123.717","BC","13.2","0",NA,"29.4","0","-0.6","0","0.0","0",NA,"41.7","0",NA,"","9","","",NA,"148.5","0.0","1012550"
"ESQUIMALT","48.433","-123.417","BC","",,NA,"",,"",,"0.0","0",NA,"9.4","0",NA,"","5","","",NA,"","","1012700"
"GOLDSTREAM LAKE","48.450","-123.550","BC","",,NA,"",,"",,"0.0","0",NA,"41.3","0",NA,"","9","","",NA,"","","1013240"
"JAMES ISLAND","48.600","-123.350","BC","12.1","0",NA,"23.3","0","3.3","0","0.0","0",NA,"17.4","0",NA,"","5","","",NA,"182.8","0.0","1013720"
"LAKE COWICHAN","48.817","-124.050","BC","11.8","0",NA,"28.3","0","-0.6","0","0.0","0",NA,"69.6","0",NA,"","7","","",NA,"193.1","0.0","1014493"
"MAYNE ISLAND","48.850","-123.333","BC","",,NA,"",,"",,"0.0","0",NA,"32.7","0",NA,"","5","","",NA,"","","1014930"
"METCHOSIN","48.374","-123.561","BC","11.0","0",NA,"21.1","0","5.0","0","0.0","0",NA,"9.9","0","25.0","","2","","",NA,"216.3","0.0","1015105"
"MILLSTREAM","48.483","-123.550","BC","",,NA,"",,"",,"0.0","0",NA,"18.6","0",NA,"","5","","",NA,"","","1015150"
"MILNES LANDING","48.350","-123.733","BC","11.1","0",NA,"22.8","0","1.1","0","0.0","0",NA,"25.5","0",NA,"","5","","",NA,"213.3","0.0","1015160"
"PENDER ISLAND","48.767","-123.300","BC","",,NA,"",,"",,"0.0","0",NA,"39.9","0",NA,"","6","","",NA,"","","1016120"
"RIVER JORDAN","48.417","-124.050","BC","",,NA,"",,"",,"0.0","0",NA,"65.0","0",NA,"","9","","",NA,"","","1016780"
"SAANICHTON CDA","48.698","-123.594","BC","11.8","0","-0.4","23.3","0","2.2","0","0.0","0",NA,"16.3","0","39.0","","5","","",NA,"191.2","0.0","1016940"
"SALTSPRING ISLAND","48.850","-123.500","BC","11.6","0",NA,"26.1","0","0.6","0","0.0","0",NA,"42.2","0",NA,"","7","","",NA,"198.7","0.0","1016990"
"SAANICH DOM ASTRO OBS","48.517","-123.417","BC","13.1","0",NA,"25.6","0","6.1","0","0.0","0",NA,"8.8","0",NA,"","3","","",NA,"153.9","1.8","10169DK"
"SHAWNIGAN LAKE","48.647","-123.627","BC","11.5","0","-0.7","27.8","0","-1.1","0","0.0","0",NA,"38.7","0","77.0","","7","","",NA,"202.8","0.0","1017230"
"SOOKE LAKE","48.517","-123.700","BC","",,NA,"",,"",,"0.0","0",NA,"41.7","0",NA,"","5","","",NA,"","","1017560"
"VICTORIA GONZALES HTS","48.417","-123.317","BC","11.9","0",NA,"21.7","0","5.6","0","0.0","0",NA,"11.1","0",NA,"","5","","",NA,"187.8","0.0","1018610"
"ALERT BAY","50.583","-126.933","BC","",,NA,"",,"",,"0.0","0",NA,"78.2","0",NA,"","14","","",NA,"","","1020270"
"CAMERON LAKE","49.283","-124.583","BC","",,NA,"",,"",,"0.0","0",NA,"84.9","0",NA,"","10","","",NA,"","","1021230"
"CAMPBELL RIVER","50.017","-125.300","BC","",,NA,"",,"",,"0.0","0",NA,"65.2","0",NA,"","10","","",NA,"","","1021260"
"CAPE LAZO","49.700","-124.867","BC","11.5","0",NA,"24.4","0","1.7","0","0.0","0",NA,"49.1","0",NA,"","9","","",NA,"200.9","0.0","1021320"
"COURTENAY PUNTLEDGE BCHP","49.683","-125.033","BC","",,NA,"",,"",,"0.0","0",NA,"84.9","0",NA,"","10","","",NA,"","","1021990"
"CUMBERLAND","49.617","-125.033","BC","11.5","0",NA,"30.0","0","-2.8","0","0.0","0",NA,"84.0","0",NA,"","12","","",NA,"205.1","2.3","1022250"
"DENMAN ISLAND","49.517","-124.783","BC","",,NA,"",,"",,"0.0","0",NA,"55.6","0",NA,"","7","","",NA,"","","1022430"
