"Environment and Climate Change Canada"
"Monthly Values for June - 1962"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"VICTORIA INT'L A","48.647","-123.426","BC","14.1","0","-0.8","25.0","0","5.0","0","0.0","0",NA,"13.8","0","45.0","0.0","4","","",NA,"119.3","0.9","1018620"
"VICTORIA LANSDOWNE","48.433","-123.317","BC","14.2","1",NA,"24.4","1","5.6","1","0.0","0",NA,"12.8","0",NA,"","2","","",NA,"109.5","0.6","1018640"
"VICTORIA ROWLEY ROAD","48.467","-123.300","BC","",,NA,"",,"",,"0.0","0",NA,"15.6","0",NA,"","3","","",NA,"","","1018657"
"VICTORIA TILLICUM","48.450","-123.392","BC","14.0","0",NA,"26.7","0","2.8","0","0.0","0",NA,"12.6","0",NA,"","2","","",NA,"119.6","0.7","1018660"
"VICTORIA TUDOR AVENUE","48.450","-123.267","BC","",,NA,"",,"",,"0.0","0",NA,"16.1","0",NA,"","4","","",NA,"","","1018666"
"WILLIAM HEAD","48.340","-123.532","BC","13.7","0","-0.9","23.3","0","6.1","0","0.0","0",NA,"19.6","0","69.0","","3","","",NA,"130.0","0.0","1018935"
"YOUBOU","48.883","-124.217","BC","13.9","1",NA,"27.2","1","3.3","0","0.0","0",NA,"55.1","0",NA,"","7","","",NA,"124.3","5.7","1019010"
"VICTORIA SHORT STREET","48.450","-123.367","BC","14.5","0",NA,"26.1","0","4.4","0","0.0","0",NA,"10.2","0",NA,"","2","","",NA,"106.2","0.4","101QFEG"
"ALERT BAY","50.583","-126.933","BC","12.1","0",NA,"25.6","0","5.0","0","0.0","0",NA,"71.4","0",NA,"0.0","8","","",NA,"176.8","0.4","1020270"
"BLIND CHANNEL","50.417","-125.500","BC","",,NA,"",,"",,"0.0","0",NA,"51.5","0",NA,"","6","","",NA,"","","1020885"
