CSD Code / Code de la SDR 2016,CSD Name / Nom de la SDR 2016,Census Population / Population de recensement 2016,Income / Revenu 2016,Education / Scolarité 2016,Housing / Logement 2016,Labour Force Activity / Activité sur le marché du travail 2016,CWB / IBC 2016,Community Type / Type de communauté 2016
1001101,"Division No.  1, Subd. V",36,,,,,,Non-Indigenous Community / Communauté non-Autochtone
1001105,Portugal Cove South,150,,,,,73,Non-Indigenous Community / Communauté non-Autochtone
1001113,Trepassey,481,80,50,98,70,74,Non-Indigenous Community / Communauté non-Autochtone
1001120,St. Shott's,66,,,,,77,Non-Indigenous Community / Communauté non-Autochtone
1001124,"Division No.  1, Subd. U",1625,81,60,97,80,80,Non-Indigenous Community / Communauté non-Autochtone
1001126,Cape Broyle,489,74,51,96,83,76,Non-Indigenous Community / Communauté non-Autochtone
1001131,Renews-Cappahayden,301,79,54,98,75,77,Non-Indigenous Community / Communauté non-Autochtone
1001136,Fermeuse,325,80,49,99,77,76,Non-Indigenous Community / Communauté non-Autochtone
1001140,Port Kirwan,52,,,,,,Non-Indigenous Community / Communauté non-Autochtone
1001144,Aquaforte,80,,,,,76,Non-Indigenous Community / Communauté non-Autochtone
1001149,Ferryland,414,73,55,96,76,75,Non-Indigenous Community / Communauté non-Autochtone
1001155,"Division No.  1, Subd. W",435,82,49,99,65,74,Non-Indigenous Community / Communauté non-Autochtone
1001169,St. Vincent's-St. Stephen's-Peter's River,313,71,39,100,59,67,Non-Indigenous Community / Communauté non-Autochtone
1001174,Gaskiers-Point La Haye,232,,,,,67,Non-Indigenous Community / Communauté non-Autochtone
1001178,St. Mary's,347,76,50,98,78,75,Non-Indigenous Community / Communauté non-Autochtone
1001181,Riverhead,185,,,,,71,Non-Indigenous Community / Communauté non-Autochtone
1001186,Admirals Beach,135,,,,,72,Non-Indigenous Community / Communauté non-Autochtone
1001192,St. Joseph's,115,,,,,68,Non-Indigenous Community / Communauté non-Autochtone
1001197,Mount Carmel-Mitchells Brook-St. Catherine's,349,84,49,98,62,73,Non-Indigenous Community / Communauté non-Autochtone
1001203,"Division No.  1, Subd. X",513,77,53,98,79,77,Non-Indigenous Community / Communauté non-Autochtone
1001207,Colinet,80,,,,,79,Non-Indigenous Community / Communauté non-Autochtone
1001214,"Division No.  1, Subd. C",100,,,,,71,Non-Indigenous Community / Communauté non-Autochtone
1001219,Branch,228,,,,,74,Non-Indigenous Community / Communauté non-Autochtone
1001225,Point Lance,102,,,,,76,Non-Indigenous Community / Communauté non-Autochtone
1001228,St. Bride's,252,76,51,97,66,73,Non-Indigenous Community / Communauté non-Autochtone
1001234,"Division No.  1, Subd. B",360,78,58,96,87,80,Non-Indigenous Community / Communauté non-Autochtone
1001240,Placentia,3496,79,57,96,77,77,Non-Indigenous Community / Communauté non-Autochtone
1001254,Fox Harbour,252,,,,,71,Non-Indigenous Community / Communauté non-Autochtone
1001259,"Division No.  1, Subd. A",731,75,46,96,75,73,Non-Indigenous Community / Communauté non-Autochtone
1001263,Long Harbour-Mount Arlington Heights,185,,,,,85,Non-Indigenous Community / Communauté non-Autochtone
1001267,Southern Harbour,369,80,47,92,64,70,Non-Indigenous Community / Communauté non-Autochtone
1001270,Arnold's Cove,949,79,49,96,80,76,Non-Indigenous Community / Communauté non-Autochtone
1001274,Come By Chance,228,,,,,76,Non-Indigenous Community / Communauté non-Autochtone
1001277,Sunnyside,396,88,51,97,82,80,Non-Indigenous Community / Communauté non-Autochtone
1001281,Chance Cove,256,78,44,99,74,74,Non-Indigenous Community / Communauté non-Autochtone
1001285,Norman's Cove-Long Cove,666,81,43,96,80,75,Non-Indigenous Community / Communauté non-Autochtone
1001289,Chapel Arm,457,74,50,96,74,74,Non-Indigenous Community / Communauté non-Autochtone
1001293,"Division No.  1, Subd. Y",1118,80,57,97,86,80,Non-Indigenous Community / Communauté non-Autochtone
1001298,Whitbourne,890,75,52,95,79,75,Non-Indigenous Community / Communauté non-Autochtone
1001304,"Division No.  1, Subd. E",2943,72,49,95,77,73,Non-Indigenous Community / Communauté non-Autochtone
1001308,Whiteway,373,80,56,98,75,77,Non-Indigenous Community / Communauté non-Autochtone
1001312,Heart's Delight-Islington,674,74,53,96,77,75,Non-Indigenous Community / Communauté non-Autochtone
1001316,Heart's Desire,213,,,,,71,Non-Indigenous Community / Communauté non-Autochtone
1001321,"Division No.  1, Subd. F",548,75,47,94,73,72,Non-Indigenous Community / Communauté non-Autochtone
1001325,Heart's Content,340,80,50,98,77,76,Non-Indigenous Community / Communauté non-Autochtone
1001328,New Perlican,186,,,,,73,Non-Indigenous Community / Communauté non-Autochtone
1001332,Winterton,450,73,50,94,80,74,Non-Indigenous Community / Communauté non-Autochtone
1001335,Hant's Harbour,329,71,49,89,77,72,Non-Indigenous Community / Communauté non-Autochtone
1001339,"Division No.  1, Subd. G",1866,74,46,93,78,73,Non-Indigenous Community / Communauté non-Autochtone
1001343,Old Perlican,633,81,54,99,80,78,Non-Indigenous Community / Communauté non-Autochtone
1001347,Bay de Verde,392,66,45,98,82,73,Non-Indigenous Community / Communauté non-Autochtone
1001352,Small Point-Adam's Cove-Blackhead-Broad Cove,387,74,57,97,81,77,Non-Indigenous Community / Communauté non-Autochtone
1001357,"Division No.  1, Subd. H",390,74,51,96,70,73,Non-Indigenous Community / Communauté non-Autochtone
1001361,Salmon Cove,680,76,51,96,71,73,Non-Indigenous Community / Communauté non-Autochtone
1001365,Victoria,1800,73,48,98,74,73,Non-Indigenous Community / Communauté non-Autochtone
1001370,Carbonear,4858,76,57,96,78,77,Non-Indigenous Community / Communauté non-Autochtone
1001374,"Division No.  1, Subd. I",299,82,69,99,83,83,Non-Indigenous Community / Communauté non-Autochtone
1001375,Bryant's Cove,395,81,50,100,74,76,Non-Indigenous Community / Communauté non-Autochtone
1001379,Harbour Grace,2995,74,56,93,76,75,Non-Indigenous Community / Communauté non-Autochtone
1001385,Upper Island Cove,1561,76,56,96,73,75,Non-Indigenous Community / Communauté non-Autochtone
1001391,"Division No.  1, Subd. J",,,,,,,Non-Indigenous Community / Communauté non-Autochtone
1001394,Bishop's Cove,287,70,44,91,76,70,Non-Indigenous Community / Communauté non-Autochtone
1001396,Spaniard's Bay,2653,75,58,96,79,77,Non-Indigenous Community / Communauté non-Autochtone
1001405,"Division No.  1, Subd. K",28,,,,,,Non-Indigenous Community / Communauté non-Autochtone
1001409,Bay Roberts,6012,76,59,97,81,78,Non-Indigenous Community / Communauté non-Autochtone
1001415,"Division No.  1, Subd. L",928,76,50,100,77,76,Non-Indigenous Community / Communauté non-Autochtone
1001421,"Division No.  1, Subd. M",1073,75,54,98,70,74,Non-Indigenous Community / Communauté non-Autochtone
1001426,North River,570,76,63,99,70,77,Non-Indigenous Community / Communauté non-Autochtone
1001429,Clarke's Beach,1558,76,59,97,82,78,Non-Indigenous Community / Communauté non-Autochtone
1001434,South River,647,82,59,96,84,81,Non-Indigenous Community / Communauté non-Autochtone
1001437,Cupids,743,75,60,94,75,76,Non-Indigenous Community / Communauté non-Autochtone
1001441,"Division No.  1, Subd. N",372,74,46,93,70,71,Non-Indigenous Community / Communauté non-Autochtone
1001446,Brigus,723,78,53,90,75,74,Non-Indigenous Community / Communauté non-Autochtone
1001452,"Division No.  1, Subd. O",663,79,49,97,72,74,Non-Indigenous Community / Communauté non-Autochtone
1001456,Colliers,654,81,58,91,65,74,Non-Indigenous Community / Communauté non-Autochtone
1001461,Conception Harbour,685,83,57,98,78,79,Non-Indigenous Community / Communauté non-Autochtone
1001464,Avondale,641,83,66,95,81,81,Non-Indigenous Community / Communauté non-Autochtone
1001469,Harbour Main-Chapel's Cove-Lakeview,1067,86,62,98,78,81,Non-Indigenous Community / Communauté non-Autochtone
1001472,Holyrood,2463,81,62,97,83,81,Non-Indigenous Community / Communauté non-Autochtone
1001485,Conception Bay South,26199,81,64,99,87,82,Non-Indigenous Community / Communauté non-Autochtone
1001490,"Division No.  1, Subd. R",322,74,50,96,63,71,Non-Indigenous Community / Communauté non-Autochtone
1001494,Wabana,2146,62,44,93,64,65,Non-Indigenous Community / Communauté non-Autochtone
1001504,Portugal Cove-St. Philip's,8147,85,68,97,88,85,Non-Indigenous Community / Communauté non-Autochtone
1001505,Pouch Cove,2069,76,60,96,85,79,Non-Indigenous Community / Communauté non-Autochtone
1001507,Flatrock,1683,83,63,99,86,83,Non-Indigenous Community / Communauté non-Autochtone
1001509,Torbay,7899,84,69,98,87,85,Non-Indigenous Community / Communauté non-Autochtone
1001511,Logy Bay-Middle Cove-Outer Cove,2221,87,74,99,88,87,Non-Indigenous Community / Communauté non-Autochtone
1001512,Bauline,452,74,57,99,83,78,Non-Indigenous Community / Communauté non-Autochtone
1001517,Paradise,21389,86,70,99,89,86,Non-Indigenous Community / Communauté non-Autochtone
1001519,St. John's,108860,84,70,97,84,84,Non-Indigenous Community / Communauté non-Autochtone
1001542,Mount Pearl,22957,82,66,98,86,83,Non-Indigenous Community / Communauté non-Autochtone
1001551,Petty Harbour-Maddox Cove,960,77,54,99,86,79,Non-Indigenous Community / Communauté non-Autochtone
1001557,Bay Bulls,1500,83,62,95,87,82,Non-Indigenous Community / Communauté non-Autochtone
1001559,Witless Bay,1619,82,61,97,84,81,Non-Indigenous Community / Communauté non-Autochtone
1001565,"Division No.  1, Subd. D",88,,,,,78,Non-Indigenous Community / Communauté non-Autochtone
1002001,"Division No.  2, Subd. E",246,,,,,73,Non-Indigenous Community / Communauté non-Autochtone
1002002,Lewin's Cove,544,81,55,94,78,77,Non-Indigenous Community / Communauté non-Autochtone
